casting director	70 50
value out of this video do me a favor	77 77 77 77 77 80 77 77 77
their careers	71 71
market after calm and today we ' re going	79 79 79 79 79 79 79 79 79
auditioned for this commercial with shaq	71 71 71 71 71 41
payments and now obviously	79 79 79 79
encourage you	71 40
you are and get a sense of you know what	79 79 79 79 79 79 79 79 79 79
and you were getting 5 % commission on it	62 62 62 62 62 62 63 63 63
that really catches their eye	76 79 79 76 76
particular job so you won ' t get	61 61 70 70 79 79 79 80
are often really easy to install so you	79 79 79 79 79 79 79 79
never finishing it because of all the	79 70 70 43 52 52 79
remember to change to this other line	79 79 79 79 79 79 79
your business	79 79
to make ourselves or rather to encourage ourselves	41 49 67 50 41 41 49 41
leave them down in the comments below	52 49 50 80 80 80 80
channel so in that old video I explained	71 71 41 50 71 80 80 41
the moment you get your offer accepted	79 79 79 79 79 79 79
course that would not be good but	79 70 79 79 79 79 79
when I first started uploading videos	53 53 53 53 53 71
also for projects sometimes when you	79 79 79 41 41 41
what ' s up my fellow actors welcome to	0 0 0 0 0 49 49 41 71
Skillshare is sponsoring this video	41 50 23 50 50
depending on what school you go to	79 79 79 79 79 79 79
to this channel to get more videos on	71 71 71 71 71 71 71 71
this scene that means you ' re just gonna	79 49 76 70 70 70 70 67 67
Okay so at this point we ' ve established that	49 76 76 76 76 76 76 76 76 76
Instead think of it as a collaborative endeavor	79 78 71 77 72 68 71 68
that in my new course	71 71 70 70 79
market if people search this and they	79 79 79 79 79 79 79
officer who was interviewing a little	41 41 28 67 67 67
And if we look at the averages	49 49 49 49 49 49 41
per year by choosing to live with a	79 79 79 79 79 79 79 79
for how I personally find things that are meaningful	19 41 41 41 41 41 20 11 11
in multi - unit rentals and of course	44 43 43 43 71 70 40 40
whereby you have your path charted out in front of you	70 70 40 40 37 28 28 28 28 28 40
You can make an app but then getting people	0 0 0 0 0 0 0 0 0
a career in film and television there	81 71 71 71 71 67 67
my weekly email newsletter I initially have	79 79 79 79 79 79 79
might go to a set that has lamb for for	50 41 41 41 41 40 41 40 40 41
working with an agent	50 50 50 50
is gonna massively impact your financial upside	79 79 80 50 79 79 25
so grateful that you guys are following	79 79 79 79 79 79 79
dollars so yeah make sure you have some	0 1 1 1 1 1 1 79
out the other classes that I ' ve gotten Skillshare as well	79 79 76 79 79 77 77 77 77 77 77 77
sleep so like I have to force myself to	37 40 37 41 47 46 46 38 38
really want to make sure that your	40 40 40 40 40 40 40
okay so these are all the things that	0 0 0 0 0 0 0 0
because it ' s possible i think	79 79 79 79 79 79 79
and it it will honestly it will make you	79 79 79 79 79 79 79 79 79
Whereas estimated revenue of the lifetime	71 41 49 49 49 40
for instance i ' ve done a ton of acting	71 71 71 71 71 71 52 79 79 79
headshot at your auditions well that	79 67 71 71 49 49
or get to slightly higher marks that I forgot to	61 61 40 40 49 49 49 80 81 80
to subscribe to this channel to get more	50 71 71 71 71 71 71 71
and then finally the last column is the	0 0 0 0 0 0 0 0
but i really wanted to pinpoint it here	80 79 79 79 79 79 79 79
your imdb if you have imdb pro you can	71 71 71 71 71 49 74 50 50
i didn ' t know shaq was going to be	49 49 49 49 49 49 40 40 49 43
instead we are making and dying we are	1 0 0 1 0 0 1 0
perfectly their transition from joking	41 41 40 50 50
and so started doing it and I started to	49 49 37 37 37 40 40 46 46
you can also put on special skills	52 79 77 80 70 70 41
And so if this were a normal car	15 51 15 51 51 51 51 51
and help you	40 67 40
yourself I personally got my real estate	41 40 40 40 40 40 40
are you going to want to pay that	70 70 70 70 70 70 67 67
This is the thing to invest in	76 76 76 76 79 79 79
that let ' s say you go into an audition	73 73 73 73 76 76 76 76 76 76
Now how hard is it to get 28 people a month	58 58 58 58 58 59 58 58 58 58 58
because that will give you a free trial to Skillshare	49 49 49 49 50 50 50 50 49 49
the 10 commandments of self taping so	49 49 80 71 71 71 71
so high you ' re going to have all these	49 79 79 79 79 76 79 79 52 25
with friends or just creating a	49 46 49 49 49 49
as a way of returning some of its profit back	58 31 31 31 31 58 67 67 67 67
of those projects were	49 41 41 68
that I found from James Stuber ' s blog	79 49 49 49 49 70 70 70 80
which is just insane	49 50 50 49
you you know started your journey as a	49 49 49 50 49 49 49 49
for example the cabinets the fridge the	52 79 40 40 40 40 40
This is the same principle behind why	49 49 49 53 50 50 80
again gain experience as an actor but	43 43 43 41 40 50 50
but that ' s how much of you the camera	68 68 68 68 71 71 71 71 71 71
but first let me just play a clip of the	71 49 49 49 49 41 41 71 71 71
important things are knowing the market	40 40 40 40 40 49
for free these days there ' s hundreds of	40 40 51 51 41 41 41 50 23
one uh the next major theme in the book	70 70 43 52 52 79 79 79 79
booked the room	67 67 68
parts you might be too short for other	71 43 52 52 79 80 71 71
like I can tell you that " Guys I ' ve just released	49 49 37 40 40 40 40 40 40 40 40 40 40
And what I ' m really annoyed about with myself	76 76 76 76 76 76 76 76 76 79
that you ' re offering them	58 58 58 58 58 58
production but I ' m sure you can find	79 79 49 49 49 79 79 79 79
For example in one of my recent videos	64 67 67 67 31 31 37 40
important for an actor	80 77 77 80
saying the opposite lines of a scene	41 41 68 68 68 41 50
interested in just some personal	41 41 41 40 49
I ' m gonna give this a 3 . 5 - star rating	80 80 80 80 40 49 41 41 41 41 41 41 41
but how hard is it to make $ 100 a month	49 49 49 49 79 49 79 79 79 79 79
i thought i ' d make a follow - up video and	79 79 79 79 79 79 79 79 79 79 79 79
not just actors but when we when we talk	49 49 40 41 41 41 41 41 41
In fact a lot of podcasts grow by having a YouTube channel	59 59 71 62 62 62 49 22 49 79 79 79
but there are going to be other people	68 68 71 71 71 71 71 68
hey guys in this video we are going over	79 79 70 40 70 70 70 71 21
and yet most of the hours that we spend	52 52 52 79 79 79 79 79 79
you can get thirty minutes five six	50 50 49 46 46 46 46
learning and i hope to see you on set	79 79 79 79 79 79 79 0 0
gain experience to start acting in front	40 40 44 40 40 71 71
to be 8 by 10 well the image on the	79 79 79 79 79 79 79 44 44 44
usually if that includes the name of the	49 50 50 50 41 41 41 41
needed renovations then make sure you	79 79 79 79 79 79
real estate but if no one knows that you	79 79 79 79 79 79 79 79 79
on average about 6 to 12 months for an	79 79 79 79 79 70 70 61 70
films or independent films	49 52 49 43
business expenses so	79 79 79
in real time as I discover them	43 52 52 52 52 79 79
get three	68 68
show them that you can tell an	71 71 71 49 49 49 49
resumes my advice would be to start with	79 49 49 71 71 71 71 71
which is about approaching things sincerely	49 49 49 74 74 73
first - time test takers the passing rate	79 79 79 70 79 70 79 0
impact on your overall portfolio so if	41 71 41 40 70 41 40
even hundreds of thousands of dollars in	0 0 0 0 0 0 0
can literally teach yourself anything	1 1 1 1 1
because these online brokers as I said	76 77 77 77 77 76 79
and you should have that money saved up	71 71 71 71 71 71 71 49
thing that i want to mention with	0 0 0 0 0 0 0
And finally the third category	79 79 52 43 43
on money so for example let ' s say you	79 79 79 79 79 52 52 52 52 52
how hard it is to make $ 100 a month from it	40 41 41 41 41 41 41 41 41 41 41 41
resume the person that works at burger	0 0 0 0 0 0 0
makes you look	0 0 0
which is absolutely enormous	64 64 64 73
you need roundabout 1 , 700 minutes of watch time	0 0 61 58 58 58 58 58 58 58
is that your pay is infinitely scalable	79 79 79 79 70 79 79
and doing your best to try and help others	0 0 0 0 0 0 0 0 0
want to invest your time in and	49 49 49 49 49 49 49
the comments below	67 68 41
stimulus is or stimuli and then also you	49 50 41 50 50 50 50 47
question price east side and the 500	79 79 79 81 81 51 80
audience so if you can show that you can	41 67 40 40 41 41 40 67 67
I mean anyone can write an ebook	49 49 49 49 49 49 52
that you can do it so in order to pass	41 41 41 40 40 40 40 40 49 49
so multiple investors would invest in the same fund	70 70 80 76 50 80 67 67 70
making a living so that was point number	70 70 79 52 52 49 79 79
and I ' ll be explaining how this whole thing works	71 71 71 71 70 70 67 46 49 41 19
one - on - one support and feedback from you	79 79 79 79 79 79 79 79 79 79
that so we as actors we need to stop	76 76 41 41 71 71 71 71 71
' cause I don ' t know if this is gonna be good	79 79 79 79 79 79 52 52 52 52 52 79 70
written however as they moved along in	79 79 79 52 52 52 79
further down the line but you ' re gonna wish	77 71 71 79 70 67 67 67 77 76
all of those things that you you can	79 79 79 79 79 79 79 79
estate you know we have all these	40 37 37 37 37 37 40
for our productivity in service of this thing of like	26 53 53 50 20 76 68 41 76 41
got on platforms like YouTube that I can	51 51 51 19 19 20 21 20
just really have to do your due	31 31 31 28 58 58 58
and no training so get your education on	71 70 70 70 41 41 71 71
super easy fix all you have to do is buy	70 70 70 19 19 19 20 21 20 19
that we love then happy days we ' ve got	72 72 72 69 64 64 67 67 67 61
people actually don ' t know that they can	70 70 70 70 70 70 70 70 70
are your annual dues so	68 68 68 67 71
is even more complicated as a business	31 31 31 31 31 28 28
submit to an agent actually end up	77 77 77 77 77 80 80
so come up with something unique that	41 71 71 71 71 71 64
how many of them do you know let ' s find	71 71 79 79 79 79 79 79 79 79 77
you ' re first getting started you are	70 70 70 70 70 70 67 40
and then own brand will start to grow much more quicker	79 79 43 79 79 79 79 76 76 49 79
for my own exams if you ' re watching this	41 41 41 41 41 41 41 41 40 40
major production cities like los angeles	79 79 79 79 79 80
your own future income that way for	53 52 40 40 40 40 40
with like trying to be the best	49 50 50 50 49 76 76
mobility you know if you ' re in the honey	49 49 50 50 50 50 50 41 50 50
acting teacher can me and he is we he	0 0 0 0 0 0 0 0 0
are not going to be seen by anyone	79 79 76 76 49 49 49 50
older ones we also did change out the	79 79 79 52 52 43 70 71
if there ' s any questions specifically	79 79 79 79 79 79 79
80 % LTV or lower once you get to that	70 70 70 79 70 70 70 70 70 70
a payment just because you forgot to	49 49 79 79 79 79 71
learned how to make websites when I was	0 0 0 0 0 0 0 0
a market in terms of just film and tv	50 51 50 50 50 80 80 53 50
reels start off	41 37 37
mastermind so with a hot seat style	49 79 79 79 79 79 79
story because there are union	49 49 49 49 49
is if the course is actually good	63 63 63 63 62 71 71
costs are just too high here and the	49 49 79 79 71 71 71 79
how it works is you can basically deduct	70 70 79 52 52 52 52 43
in 2008 famously there was a bit of a crash	61 61 67 40 31 31 31 31 40 49
I ' m so unproductive I ' m so unmotivated	53 53 53 26 44 80 80 80 80 80
city and see if there are opportunities	71 71 71 71 71 71 71
only thing that ' s good about these	79 79 79 79 79 70 71 70
not the only	71 68 67
your car now you have guaranteed that	70 68 49 49 71 71 41
relationship between new things and	0 0 0 0 0
and this happened to me before so nah i	68 41 49 49 49 49 49 40 40
because in the longterm house prices always go up	79 79 79 79 79 79 79 79 79
books if you ' re going to attend seminars	28 28 28 28 28 28 28 31 28
you can get a thousand people who like	40 41 50 50 19 19 19 49
series credits you actually write your	0 0 0 0 0 0
like your poor until you make	79 79 79 79 79 70
for it to count as a write - off you have	37 31 31 31 31 31 31 31 31 31 31
work with	53 53
you can afford based on your income	31 31 40 40 41 40 40
and professionals will have to say and	41 41 41 77 41 71 71
and do this for a very long period of time	63 63 63 63 63 63 63 63 63 60
This is not inflation - adjusted for any economists among us	40 79 79 79 79 79 40 40 49 49 49
certification exam sometimes multiple	77 77 80 80
different benefits of investing in a	1 31 31 31 31 31
planning help certainly but it does go	49 40 40 49 49 49 49
the end of the scene at your end mark	51 51 78 78 50 50 71 71 71
look like this	50 50 49
who substitutes for the principal actor	40 40 40 70 70 40
in the thumbnail i wrote that monologues	44 44 41 41 41 41 41
doesn ' t really apply here so you are	0 0 0 0 0 0 0 0 0
even up to 100 homes before they get an	40 40 40 40 44 53 53 53 80
is that an environment that appeals to your aesthetics	41 41 49 49 49 49 49 49 49
comfortable with it took the role I	30 30 30 30 30 29 29
know the bucking and fitness community	50 50 50 50 49 37
things and the last thing i want you to	0 0 0 0 0 0 0 0 0
when that movie comes out and i go watch	79 79 79 79 79 79 79 79 79
that you ' ll be pretty good like not	52 52 52 52 50 49 49 49 76
sure i had already exists so that let us	71 68 71 71 71 71 71 71 71
or small investment property and then	40 40 41 40 40 40
i ' ll put a link to it in the description	26 26 26 26 22 22 67 70 70 71 70
i would be cut off from almost all the	49 49 49 49 49 49 79 71 71
they ' re probably only going to watch the	71 71 71 71 71 71 71 71 71
business and you have thirty thousand	59 40 40 13 40 58
like in all the different aspects of	70 43 52 52 43 43 70
paint over all that get rid of those	79 77 79 79 79 79 79 79
and perfect and seemed effortless it	41 41 49 49 49 49
that same $ 500 , 000 home you ' re putting	62 70 0 0 0 0 0 0 0 0 0
literally just happened to me you guys i	49 49 49 41 41 41 41 41
it ' s going to be life - changing for so	79 79 79 79 79 79 79 79 79 79 79
i wasn ' t thinking clearly that night we	79 79 79 79 79 79 79 79 79
multi - unit property then yeah you can	32 32 32 40 40 41 44 40
mastermind that means that instead of	79 79 79 79 79 79
as long as we go first	49 49 49 49 49 79
Or recently I wouldn ' t stop playing on my Nintendo Switch	71 71 68 68 68 68 68 68 68 68 68 67
you would put the name of the show and	0 0 0 0 0 0 0 0 0
get approved for that loan of course you	80 79 80 80 40 40 40 40
this sustainable for me is there are	32 41 41 32 41 41 41
w - 2 they still won ' t pay taxes or even	31 31 31 31 40 31 31 31 31 31 31 31
actually let me say that let me	41 50 50 41 41 50 50
You need to get a mortgage	50 50 51 51 50 80
they want to see a professional headshot	79 79 79 79 79 76 79
forces us to think about	67 46 73 46 46
through working with a scene partner and	40 40 67 67 67 40 67
for your auditions the more that you do	76 79 79 79 76 76 79 79
You ' re gonna think " Oh my God	79 79 79 79 49 49 49 41 41
students student filmmakers many	40 40 41 70
shot of tequila at the bar	76 79 79 49 79 79
interesting and you will be remembered	49 68 68 68 68 71
I don ' t have a high interest credit card debt	41 41 41 41 41 41 41 41 41 41 41
make sure to check out this video which	40 40 40 40 40 40 40 40
by the algorithm	67 67 67
I ' ve tried to actively think about more	55 55 55 58 58 61 61 55 55
I ' ve been following Gary Vaynerchuk for	79 79 79 79 79 79 46 49
just take action if you ' re young get	32 40 40 40 31 31 31 34 34
And you ' re not gonna see any returns for a very long time	67 67 67 67 67 70 67 64 64 67 67 67 70 70
investing by one single year is going to	40 40 40 40 71 70 70 70
and things are right now and would you	71 71 71 71 71 64 67 67
another easy ish one to learn is video	21 0 0 19 0 0 0 0
gym throughout my whole acting training	23 23 20 20 20 20
business that i do have a lot of people	79 79 79 79 79 79 79 79 79
And that ' s been the final lesson that I learnt in 2019	64 64 64 64 67 67 70 49 37 46 46 46 71
YouTube tends to take a 45 % cut of CPMs	58 61 58 61 61 61 61 61 61 61
you increase your chances dramatically	64 64 64 64 67
marketing affiliate marketing is when	49 49 79 79 79
producers where the project is shooting	49 49 80 71 40 40
it ' s great because we don ' t want a bunch of distractions when we ' re in there trying	71 71 71 79 70 71 49 49 49 79 79 79 71 71 71 68 68 68 70 70 70
starting out is casting websites	0 0 80 80 0
would be similar but they do have their	41 37 31 28 28 31 31 28
like show business right well there ' s a	79 79 79 79 79 68 68 68 71
the time	79 76
like really listening and being aware of	49 49 49 50 50 49 49
I should probably film a video	49 76 52 79 70 49
of the producers on the movie	67 67 67 76 76 73
it for 29	0 0 0
then have this supply and demand thing	64 64 64 64 64 64 67
to find buyer and seller leaves some	70 40 40 40 70 70 40
haven ' t yet start investing i really	40 40 40 40 43 71 71 71
house so there ' s one bedroom downstairs	79 79 0 0 0 0 0 0
by shopping around	71 70 43
of acting out your shoulder pain or	69 69 68 68 50 19 19
likely you will see appreciation the	40 40 40 40 40 53
into the film and television industry	68 68 71 68 68 71
you ' re going to make a lot more money on	31 31 31 40 31 31 31 31 31 31 32
they have many other actors to choose	53 53 53 53 53 53 53
in the video description	71 80 49 49
a guy out for revenge like Steven Seagal	76 76 76 76 79 79 79 79
back in 2016 I had the incredible	71 71 71 71 71 71 71
money that we don ' t see unless we	79 79 70 70 70 70 70 70 70
so they only tell people on a need to	41 49 49 50 50 50 50 41 44
that you ' ll pass read the question try	79 70 70 70 70 79 71 70 79
managers make their money	70 68 71 71
first house so I work in real estate and	1 1 0 70 79 79 79 79 79
or trying to compete with other people	77 77 67 67 67 67 67
sell things on craigslist for fun it	53 53 53 53 53 41 40
well the reason why i love them is	79 80 79 79 79 79 71 80
talks about in his book Getting Things Done	43 43 52 52 70 70 70 67
i believe the average credit score in	40 40 40 40 41 41 41
lower credit score they are definitely	49 40 40 44 44 53
book that particular audition it ' s not a	76 76 76 79 79 79 79 79 79
is a college basketball player	0 0 0 0 0
which is a server - side programming	50 50 51 23 23 23 20
even though it has fewer views	63 0 0 0 63 63
cabinets can be either an easy fix or	49 49 79 41 41 41 71 79
online then I do in my day job of	49 49 49 49 49 40 40 31 31
growing your business or keep sustaining	79 79 79 79 79 79
crusher but also physiologically we	40 40 49 49 41
series regular	0 0
and remember we said earlier union	50 72 63 63 77 50
bank account if you want to move to one	67 67 70 70 70 70 70 70 67
to your demo reel	41 71 71 41
as soon as possible	70 70 70 67
movies and television shows	52 71 71 41
so don ' t discount being in commercials	40 40 40 40 41 41 41 41
prepare for that audition then I go in	50 50 53 77 64 67 67 64
been asked to perform a monologue	41 71 71 71 71 71
but that is where I share all of the things	79 79 43 43 43 52 79 70 70 43
basis but you can just keep 1031	40 31 40 40 49 43 43
the means was earning and the end was	0 0 0 0 1 1 2 0
auditioning and career advice every week	71 71 71 71 71 71
use a blank wall like i got behind me	37 37 37 37 40 40 40 40 37
that ' s why for those two primary reasons	76 76 76 43 76 41 71 49 49
But crucially this only applies to videos	67 64 64 64 64 64 67
you ' re getting a commission from each	80 80 80 80 80 80 53 53
it wisely if you ' re too young to have	40 67 40 40 40 40 40 40 40 40
mortgage insurance just like the	0 0 0 0 0
exchanging value like we all use money	0 0 0 0 0 77 76
depending on where the acting studio is	71 71 71 71 71 71 49
get a good night ' s sleep eat some good	40 40 67 67 67 67 40 41 41 41
I started to focus on my scene Paul and	41 41 41 41 41 53 53 26 26
software as a service	41 41 50 41
really close to starting to shoot I	73 73 73 73 76 76 41
what happened to me	41 41 71 71
that i know	71 71 71
line for the patient a question and then	79 79 79 79 79 80 80 79
as an actor is a little bit different	41 41 41 50 50 50 50 41
how our body moves and they have really	49 49 49 49 49 49 49 49
hold for X amount of days or you	46 37 1 49 49 49 49 46
to say hello and introduce yourself	41 71 71 76 70 71
of us can get on board with so let	79 79 79 79 79 79 79 79 79
and strike up a conversation	79 73 73 76 76
